Date,Carlow,Cavan,Clare,Cork,Donegal,Dublin,Galway,Kerry,Kildare,Kilkenny,Laois,Leitrim,Limerick,Longford,Louth,Mayo,Meath,Monaghan,Offaly,Roscommon,Sligo,Tipperary,Waterford,Westmeath,Wexford,Wicklow
2020-03-21,3,3,9,104,8,471,33,12,23,15,6,3,18,3,13,6,13.0,3.0,10.0,3.0,8.0,20.0,9.0,20.0,3.0,22.0
2020-03-22,3,5,11,123,11,535,35,15,25,16,8,3,19,3,16,9,16.0,3.0,13.0,3.0,8.0,20.0,13.0,21.0,7.0,28.0
2020-03-23,3,5,12,133,11,659,40,33,34,16,9,3,19,4,18,9,24.0,3.0,13.0,3.0,8.0,20.0,15.0,25.0,7.0,39.0
2020-03-24,3,6,25,154,12,774,45,38,39,19,9,3,24,3,20,14,27.0,3.0,16.0,5.0,8.0,27.0,22.0,29.0,8.0,49.0
2020-03-25,3,9,26,171,15,922,57,44,45,20,10,3,36,5,24,18,33.0,5.0,19.0,7.0,8.0,34.0,25.0,39.0,9.0,52.0
2020-03-26,3,11,31,184,15,1070,63,47,56,29,11,3,46,5,27,21,41.0,8.0,22.0,8.0,10.0,44.0,29.0,52.0,10.0,58.0
2020-03-27,3,19,34,208,24,1233,68,53,61,33,14,3,55,10,34,26,46.0,11.0,29.0,10.0,12.0,53.0,31.0,67.0,12.0,65.0
2020-03-28,3,24,34,217,36,1393,77,60,64,36,14,6,64,10,39,28,47.0,12.0,34.0,10.0,19.0,62.0,34.0,70.0,12.0,69.0
2020-03-29,3,31,40,238,46,1487,86,66,66,36,15,6,67,10,44,36,54.0,13.0,34.0,10.0,19.0,71.0,33.0,77.0,15.0,73.0
2020-03-30,3,36,45,255,63,1645,88,68,80,37,16,10,87,12,51,48,66.0,13.0,40.0,10.0,22.0,85.0,37.0,80.0,15.0,77.0
2020-03-31,3,39,49,272,68,1838,91,72,90,37,16,12,94,14,52,52,74.0,17.0,46.0,10.0,25.0,91.0,38.0,81.0,16.0,84.0
2020-04-01,3,41,50,292,77,2077,98,79,103,47,16,12,96,16,54,55,88.0,18.0,47.0,13.0,26.0,94.0,43.0,86.0,18.0,105.0
2020-04-02,6,67,54,304,80,2251,105,84,136,54,21,13,116,17,55,63,93.0,20.0,63.0,13.0,27.0,105.0,43.0,92.0,20.0,112.0
2020-04-03,12,76,54,343,81,2490,108,85,152,73,22,13,128,17,64,78,106.0,23.0,64.0,15.0,28.0,118.0,46.0,94.0,21.0,132.0
2020-04-04,12,115,60,362,103,2692,112,89,175,75,25,14,140,21,65,107,141.0,52.0,66.0,18.0,28.0,125.0,49.0,107.0,21.0,142.0
2020-04-05,12,123,65,421,114,3061,128,117,200,79,31,18,143,25,85,126,168.0,58.0,73.0,22.0,28.0,133.0,49.0,121.0,22.0,171.0
2020-04-06,15,129,66,431,120,3268,134,122,233,88,34,20,160,35,96,130,183.0,62.0,77.0,22.0,28.0,137.0,52.0,134.0,24.0,181.0
2020-04-07,16,132,68,472,125,3557,134,125,253,90,37,23,173,36,106,134,198.0,63.0,81.0,22.0,28.0,140.0,56.0,142.0,26.0,207.0
