Date,Carlow,Cavan,Clare,Cork,Donegal,Dublin,Galway,Kerry,Kildare,Kilkenny,Laois,Leitrim,Limerick,Longford,Louth,Mayo,Meath,Monaghan,Offaly,Roscommon,Sligo,Tipperary,Waterford,Westmeath,Wexford,Wicklow
2020-03-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-21,0.005,0.004,0.008,0.019,0.005,0.035,0.013,0.008,0.01,0.015,0.007,0.009,0.009,0.007,0.01,0.005,0.007,0.005,0.013,0.005,0.012,0.013,0.008,0.023,0.002,0.015
2020-03-22,0.005,0.007,0.009,0.023,0.007,0.04,0.014,0.01,0.011,0.016,0.009,0.009,0.01,0.007,0.012,0.007,0.008,0.005,0.017,0.005,0.012,0.013,0.011,0.024,0.005,0.02
2020-03-23,0.005,0.007,0.01,0.024,0.007,0.049,0.016,0.022,0.015,0.016,0.011,0.009,0.01,0.007,0.014,0.007,0.012,0.005,0.017,0.005,0.012,0.013,0.013,0.028,0.005,0.027
2020-03-24,0.005,0.008,0.021,0.028,0.008,0.057,0.017,0.026,0.018,0.019,0.011,0.009,0.012,0.007,0.016,0.011,0.014,0.005,0.021,0.008,0.012,0.017,0.019,0.033,0.005,0.034
2020-03-25,0.005,0.012,0.022,0.031,0.009,0.068,0.022,0.03,0.02,0.02,0.012,0.009,0.018,0.012,0.019,0.014,0.017,0.008,0.024,0.011,0.012,0.021,0.022,0.044,0.006,0.037
2020-03-26,0.005,0.014,0.026,0.034,0.009,0.079,0.024,0.032,0.025,0.029,0.013,0.009,0.024,0.012,0.021,0.016,0.021,0.013,0.028,0.012,0.015,0.028,0.025,0.059,0.007,0.041
2020-03-27,0.005,0.025,0.029,0.038,0.015,0.092,0.026,0.036,0.027,0.033,0.017,0.009,0.028,0.024,0.026,0.02,0.024,0.018,0.037,0.015,0.018,0.033,0.027,0.075,0.008,0.046
2020-03-28,0.005,0.032,0.029,0.04,0.023,0.103,0.03,0.041,0.029,0.036,0.017,0.019,0.033,0.024,0.03,0.021,0.024,0.02,0.044,0.015,0.029,0.039,0.027,0.079,0.008,0.048
2020-03-29,0.005,0.041,0.034,0.044,0.029,0.11,0.033,0.045,0.03,0.036,0.018,0.019,0.034,0.024,0.034,0.028,0.028,0.021,0.044,0.015,0.029,0.044,0.028,0.087,0.01,0.051
2020-03-30,0.005,0.047,0.038,0.047,0.04,0.122,0.034,0.046,0.036,0.037,0.019,0.031,0.045,0.029,0.04,0.037,0.034,0.021,0.051,0.015,0.034,0.053,0.032,0.09,0.01,0.054
2020-03-31,0.005,0.051,0.041,0.05,0.043,0.136,0.035,0.049,0.04,0.037,0.019,0.037,0.048,0.034,0.04,0.04,0.038,0.028,0.059,0.015,0.038,0.057,0.033,0.091,0.011,0.059
2020-04-01,0.005,0.054,0.042,0.054,0.048,0.154,0.038,0.053,0.046,0.047,0.019,0.037,0.049,0.039,0.042,0.042,0.045,0.029,0.06,0.02,0.04,0.059,0.037,0.097,0.012,0.074
2020-04-02,0.011,0.088,0.045,0.056,0.05,0.167,0.041,0.057,0.061,0.054,0.025,0.041,0.06,0.042,0.043,0.048,0.048,0.033,0.081,0.02,0.041,0.066,0.037,0.104,0.013,0.079
2020-04-03,0.021,0.1,0.045,0.063,0.051,0.185,0.042,0.058,0.068,0.074,0.026,0.041,0.066,0.042,0.05,0.06,0.054,0.037,0.082,0.023,0.043,0.074,0.04,0.106,0.014,0.093
2020-04-04,0.021,0.151,0.05,0.067,0.065,0.2,0.043,0.06,0.079,0.076,0.03,0.044,0.072,0.051,0.05,0.082,0.072,0.085,0.085,0.028,0.043,0.078,0.042,0.121,0.014,0.1
2020-04-05,0.021,0.161,0.055,0.078,0.072,0.227,0.05,0.079,0.09,0.08,0.037,0.056,0.073,0.061,0.066,0.097,0.086,0.094,0.094,0.034,0.043,0.083,0.042,0.136,0.015,0.12
2020-04-06,0.026,0.169,0.056,0.079,0.075,0.243,0.052,0.083,0.105,0.089,0.04,0.062,0.082,0.086,0.074,0.1,0.094,0.101,0.099,0.034,0.043,0.086,0.045,0.151,0.016,0.127
2020-04-07,0.028,0.173,0.057,0.087,0.079,0.264,0.052,0.085,0.114,0.091,0.044,0.072,0.089,0.088,0.082,0.103,0.102,0.103,0.104,0.034,0.043,0.088,0.048,0.16,0.017,0.145
2020-04-08,0.033,0.198,0.058,0.093,0.091,0.287,0.062,0.098,0.13,0.097,0.058,0.078,0.095,0.1,0.09,0.117,0.106,0.112,0.113,0.04,0.047,0.095,0.052,0.171,0.02,0.166
2020-04-09,0.039,0.222,0.072,0.107,0.105,0.308,0.065,0.105,0.149,0.116,0.072,0.097,0.114,0.11,0.103,0.129,0.118,0.132,0.133,0.042,0.06,0.104,0.054,0.204,0.026,0.173
