,2020-01-22,2020-01-23,2020-01-24,2020-01-25,2020-01-26,2020-01-27,2020-01-28,2020-01-29,2020-01-30,2020-01-31,2020-02-01,2020-02-02,2020-02-03,2020-02-04,2020-02-05,2020-02-06,2020-02-07,2020-02-08,2020-02-09,2020-02-10,2020-02-11,2020-02-12,2020-02-13,2020-02-14,2020-02-15,2020-02-16,2020-02-17,2020-02-18,2020-02-19,2020-02-20,2020-02-21,2020-02-22,2020-02-23,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15
Bolivia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,10,10,11,11,12,12,15,19,24,27,29,32,43,61,74,80,93,101,107,114,122,128,145,170,178,193,244,247,253,274,301,320,362,398,408,431,457,500,527,528,616,709,766,820,863,863,934,934,1029,1029,1352,1425,1529,1597,1760,1923,2065,2165,2410,2523,2667,2864,2979,3188,3426,3586,3759,4167,4411,4774,5066,5384,5752,6185,6799,7356,7682,8393,8701,9051,9317,9731,10172,10562,11002,11092,11315,11967,12508,13260,13939,14489,14735,15011
Bosnia and Herzegovina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,3,3,5,7,11,13,18,24,25,24,36,61,87,90,123,133,161,171,186,228,248,309,341,390,427,497,535,573,601,598,663,691,722,736,770,777,792,807,816,847,848,883,890,879,854,855,874,828,837,833,846,840,902,961,956,988,955,993,956,973,983,1012,929,904,914,873,833,824,772,783,721,707,665,645,614,617,588,577,564,546,540,528,529,510,495,482,468,455,484,479,479,479,521,519,551,571,611,611,611,713
Botswana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,5,5,5,5,12,12,12,12,12,12,12,14,14,14,19,19,19,21,21,21,21,21,21,22,17,17,14,14,14,14,14,14,13,13,10,10,11,6,6,6,6,6,7,7,7,7,9,10,10,15,15,14,14,14,14,14,14,17,16,16,16,16,16,16,17,17,23,23,23,35,35,35
Brazil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,2,2,4,4,13,13,20,25,31,38,52,151,151,162,199,318,367,613,780,1004,1519,1888,2199,2493,2902,3319,3787,4114,4300,5389,6469,7593,8570,9788,10517,11470,13221,15224,16969,18408,19430,20796,21929,20684,12558,14475,17515,20278,14062,16026,17347,17533,20132,22684,26107,28662,31701,35608,40040,45246,47751,49402,51784,55438,59296,66653,71233,77580,83720,86619,90557,93156,98473,109687,120359,128177,130840,138056,147108,156037,164080,174412,182798,190634,197592,208117,219576,233880,247812,268714,278980,285430,300546,312851,325957,580920,359767,371351,292021,304360,318820,331944,341859,348358,355151,366603
Brunei Darussalam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,11,11,37,40,50,54,56,68,75,77,81,86,89,102,107,109,104,94,91,88,83,78,76,68,68,61,52,49,43,42,36,31,29,28,28,27,27,23,23,22,21,21,20,18,17,16,14,13,13,13,13,13,11,9,7,6,7,9,8,8,6,6,6,6,6,5,4,4,4,4,4,4,4,4,3,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Bulgaria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,6,6,22,39,49,50,65,90,91,124,157,181,195,212,235,253,281,313,324,334,374,392,422,441,452,474,488,512,527,546,556,571,578,582,597,606,640,664,684,691,719,760,801,855,983,995,1039,1099,1119,1140,1174,1211,1235,1237,1253,1282,1334,1361,1385,1409,1430,1436,1452,1474,1470,1491,1497,1505,1513,1501,1492,1484,1478,1474,1457,1441,1433,1415,1378,1333,1296,1299,1289,1271,1208,1116,1078,1006,1019,1059,1099,1162,1230,1303,1371,1386,1381
Burkina Faso,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,2,3,15,15,19,32,39,57,66,90,103,132,135,159,175,187,203,215,220,222,236,236,238,238,238,257,273,273,302,309,309,321,284,257,228,208,202,186,200,181,165,163,146,137,124,120,100,96,88,73,77,81,92,126,126,130,131,125,126,127,130,130,134,127,101,93,93,96,91,90,90,90,108,108,120,75,74,74,74,74,108,78,72,75,70,71,72,73,73,49,48,40,42,37
Burundi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,3,3,3,3,3,3,3,3,5,5,4,4,4,4,4,4,4,0,0,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,21,21,21,21,21,21,21,21,21,21,21,21,29,29,29,29,29,29,29,37,37,37,37,37,39,39,39,39,39
Cambodia,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,4,6,6,6,32,34,36,50,52,83,86,87,86,86,88,86,82,86,86,84,76,79,64,64,61,57,54,57,47,45,45,45,31,26,24,24,19,17,15,12,12,12,5,5,5,3,3,3,3,2,2,2,2,2,2,2,2,2,2,1,1,1,1,0,0,0,0,0,0,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,1,1,1,1,3,3,3
Cameroon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,2,2,2,2,2,2,4,10,10,13,20,27,40,56,66,72,72,87,87,128,128,182,217,289,484,529,624,632,606,660,660,710,710,710,710,704,666,810,810,818,670,816,791,723,623,719,768,779,842,732,837,837,837,1060,1060,1087,1087,1157,1157,1157,934,1000,1040,1040,1121,1262,1398,1398,1398,1822,1822,1992,2324,2419,2419,2860,2860,3265,3265,3265,1933,2145,2145,2569,2709,2709,2881,2612,2800,2961,3100,3306,3633,3633,3633,3633,3633,4018
Canada,0,0,0,0,1,1,2,2,2,4,4,4,4,4,5,5,7,7,7,7,7,13,13,13,13,13,15,15,15,15,15,15,15,17,19,19,20,22,34,42,48,54,60,68,92,100,120,144,148,206,224,376,386,494,813,937,1289,1573,1853,2506,2888,4118,5420,6261,7826,9002,10566,11968,14172,15262,17580,20557,22343,22945,27984,29194,31205,33316,35142,37151,38737,40049,42042,44060,45438,49404,52373,54948,56291,59321,61798,64718,67357,69887,71589,73811,75284,77105,79095,80872,82848,84670,88497,89878,91044,92472,94060,95715,96928,98091,99291,100183,101109,102274,103652,104980,106295,107651,108861,110057,111219,112566,114052,115146,116277,117322,117978,119027,119787,120527,120997,121677,122241,122620,122922,123266,123165,123929,124285,124427,124151,124047,123908,123871,123706,123606
Cape Verde,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,3,2,3,3,4,4,5,5,5,5,5,5,6,6,5,5,5,5,5,6,6,8,9,54,54,54,56,59,65,66,71,80,86,88,104,107,111,111,116,103,132,130,136,147,151,178,184,178,188,200,207,226,246,257,241,241,240,247,261,258,264,226,222,232,231,231,231,246,250,238,261,224,234,258,292,297,309,296,310,316,357,397,426,443,413
Central African Republic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,8,8,8,8,8,8,8,8,8,8,8,7,8,8,8,8,8,8,4,4,6,6,6,9,9,40,40,40,62,62,62,75,75,84,84,133,133,133,133,133,133,133,288,314,314,314,348,400,418,461,533,581,629,648,678,731,850,938,986,1042,1042,1146,1261,1418,1528,1591,1807,1807,1845,1909,1677,1687,1687,1846
Chad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,3,3,3,3,3,3,5,7,7,8,8,9,9,9,8,8,9,9,9,16,21,21,21,22,22,25,25,25,25,25,25,32,31,31,31,31,31,35,35,68,68,68,110,110,176,182,238,238,238,241,252,270,292,313,333,349,350,331,344,357,384,400,382,335,292,248,250,224,222,185,175,164,129,111,95,96,84,67,68,70,65,58,57,57
Chile,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,4,4,8,8,13,23,23,43,61,74,155,201,238,238,428,531,623,736,903,1117,1280,1562,1842,2057,2285,2570,2781,3051,3288,3606,3819,4050,4175,4383,4641,4865,4990,5074,5076,5179,5242,5403,5515,5569,5617,5692,5716,5750,5840,5805,5931,6118,6288,6448,6612,7216,7756,8616,9362,9958,11031,11578,12632,13518,14248,15442,16135,17261,19170,21017,22534,22993,24118,25416,27563,30569,33000,35885,38174,40236,43934,46240,47908,49938,51096,53430,55907,59099,86173,90748,95631,21693,22387,24363,24334,23115,24201,25000,26618,26958,27266,27282
China,503,595,858,1325,1970,2737,5277,5834,7835,9375,11357,15806,18677,22373,25762,28477,31393,33413,35705,37424,38638,38560,52309,56860,57452,57992,58108,58002,56541,54825,54608,51859,51390,49631,47413,45365,42924,39809,37199,34898,32368,29864,27402,25230,23702,22159,20335,18933,17567,16116,14859,13569,12124,10783,9906,9030,8106,7372,6731,6189,5799,5410,5030,4603,4310,3881,3600,3236,2967,2764,2640,2545,2425,2267,2062,2020,1973,1905,1865,1810,1794,1835,1829,1761,1699,1656,1572,1537,1479,1436,1418,1371,1265,1154,1098,998,907,881,833,796,749,736,643,537,461,404,361,346,226,206,176,159,141,131,120,113,110,115,115,115,115,111,111,114,112,107,101,97,103,104,119,118,123,118,118,119,124,119,113,109,115,114,118,173,215,251
Colombia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,3,9,9,13,22,34,54,64,92,101,127,195,226,271,369,458,477,523,592,682,771,859,1009,1087,1187,1289,1362,1445,1630,1877,1980,2196,2395,2397,2421,2498,2522,2539,2652,2652,2902,2984,3149,3280,3419,3653,3842,4002,4134,4412,4518,4775,5141,5295,5606,5808,6222,6414,6749,7199,7481,7895,8309,8808,9288,9727,10210,10790,11249,11800,12272,12801,13247,13874,14754,15432,15966,16716,17190,17176,17864,18908,19271,20037,19890,19707,20048,21885,21885,22470,23015,23015,24201,24939,25959,26622,27766,31375
Comoros,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,3,3,3,7,7,7,10,10,10,10,10,7,7,7,7,7,7,25,25,59,59,65,65,65,61,61,61,78,78,78,103,103,75,75,72,72,72,72,63,63,64,60,60,60
Congo (Brazzaville),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,3,3,3,3,4,4,4,4,4,4,19,19,19,19,18,18,18,38,38,38,38,50,50,50,50,50,50,101,101,126,126,126,138,143,164,164,175,175,175,175,180,180,192,195,195,195,200,200,224,224,231,231,231,269,269,269,289,289,289,289,287,273,273,316,316,324,324,324,324,391,391,391,391,412,412,412,412,412,433,451,451,451,483,483,483,483,483,483,465
Congo (Kinshasa),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,2,2,3,4,14,18,22,29,35,43,46,48,46,57,57,71,88,97,118,118,133,133,138,153,153,153,182,187,198,198,201,212,222,239,256,276,280,290,289,305,321,339,364,381,385,402,468,497,566,566,568,581,670,724,768,768,814,842,912,971,1035,1036,1124,1124,1205,1278,1368,1471,1570,1650,1761,1893,1995,2113,2210,2364,2469,2550,2669,2772,2928,3071,3171,3259,3394,3481,3630,3729,3850,3956,4023,4071,4112
Costa Rica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,9,9,13,22,23,26,27,35,41,50,68,88,113,130,154,173,197,227,258,290,309,324,341,369,388,403,420,436,447,457,470,506,513,525,536,547,549,555,564,557,554,543,532,513,495,484,465,445,425,404,393,384,375,364,355,347,337,336,327,314,306,294,284,277,277,280,287,292,292,288,281,295,305,301,301,301,300,313,312,335,344,359,379,377,398,413,462,497,523,552,604,619,647,727,804,869,907,951,961
Croatia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,5,6,7,7,9,10,10,11,12,12,12,14,19,19,31,37,48,55,61,77,99,122,200,248,309,376,419,470,546,607,655,717,794,884,916,979,995,1042,1076,1097,1145,1168,1243,1190,1204,1225,1258,1235,1227,1178,1178,1115,1063,1059,1033,1048,976,928,872,814,752,707,659,589,548,528,499,469,433,398,386,363,333,321,308,285,277,258,216,195,187,169,160,162,133,121,118,109,97,96,92,83,80,71,66,55,48,39,31,22,17,15,11,13,11,9,10,11,7
Cuba,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,4,4,4,5,6,10,15,20,34,39,46,55,64,74,112,132,162,172,194,214,248,267,297,323,358,418,472,498,527,559,584,613,639,664,700,727,746,766,790,808,827,820,849,814,808,804,792,759,759,780,755,723,662,633,625,589,540,496,477,449,405,368,336,323,298,297,270,248,225,204,179,170,161,172,168,167,163,147,153,174,182,194,197,202,235,246,249,242,242,242,247,231,216,213
Cyprus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,6,6,14,26,26,33,46,49,67,67,84,91,112,118,126,139,142,159,194,201,231,283,318,357,382,400,411,438,465,501,527,545,557,585,618,638,646,661,670,674,679,674,679,684,692,648,655,659,674,680,539,546,553,561,563,567,572,474,476,476,481,484,438,439,409,412,382,384,385,386,389,345,349,316,324,326,328,328,140,141,137,137,142,145,151,151,136,135,139,145,147,149,150,155,155,158,160
Czech Republic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,5,8,12,18,19,31,31,41,91,94,141,189,253,295,393,461,691,829,989,1113,1229,1381,1638,1906,2259,2609,2790,2953,3232,3408,3747,3966,4335,4424,4623,4757,4980,5156,5267,5291,5389,5397,5308,5231,5292,5202,5198,5262,5147,5079,4935,4825,4688,4681,4639,4396,4329,4244,4132,4125,4049,3946,3760,3633,3507,3390,3391,3372,3369,3183,3049,2932,2817,2730,2737,2715,2648,2619,2587,2522,2476,2532,2562,2503,2463,2399,2361,2377,2365,2390,2339,2355,2364,2359,2321,2355,2410,2375,2370,2383,2361,2394,2444,2469,2438
Côte d'Ivoire,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,4,5,8,8,13,13,24,71,77,93,98,98,160,161,171,180,178,198,219,221,279,305,333,389,389,471,484,531,518,518,502,489,554,578,578,600,628,631,644,644,668,651,644,667,687,721,725,728,722,745,777,809,828,877,885,891,1016,986,1017,1051,1049,1078,1051,1075,1119,1172,1166,1148,1127,1136,1161,1223,1283,1348,1381,1365,1451,1490,1545,1643,1791,1771,1885,1974,1912,1966,2151,2376,2406,2534,2803
Denmark,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,4,4,6,11,11,23,23,36,91,263,443,616,803,834,872,929,1020,1111,1218,1327,1406,1500,1547,1650,1787,1932,2091,2244,2419,2605,2872,2215,2278,2520,2729,2953,3199,3442,3616,3710,3838,3820,3805,3825,3718,3642,3550,3361,3060,2897,2848,2632,2448,2304,2290,2367,2357,2321,2302,2205,2163,2125,2046,2054,2091,2024,1941,1860,1769,1700,1683,1652,1484,1471,1371,1295,1208,1153,1119,1077,1027,978,905,892,899,861,822,811,766,787,737,735,713,667,641,609,636,616,604,577,559,519,487,512,507,528,529
Djibouti,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,3,3,11,11,12,14,18,18,30,33,40,41,42,50,81,81,110,110,113,149,176,255,308,362,516,654,654,742,742,831,789,732,667,633,610,556,572,476,445,423,424,424,401,373,366,331,308,352,360,352,367,365,376,370,377,425,493,578,767,982,1196,1196,1196,1375,1375,1494,1653,1653,1886,1826,2024,2147,2273,2343,2390,2328,2302,2234,2158,2079,1842,1673,1585,1472,1275
Dominica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,7,11,11,11,11,11,12,12,12,12,14,14,14,14,14,14,11,11,8,8,8,8,8,8,8,8,8,8,7,7,6,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Dominican Republic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,2,5,5,5,5,5,5,11,11,11,20,20,32,70,110,199,242,303,379,475,558,688,817,855,1053,1218,1304,1404,1404,1646,1709,1822,1953,2151,2396,2516,2663,2838,2941,3217,3344,3658,3806,4091,4313,4336,4459,4697,4719,4831,4947,5018,4965,5131,5370,5588,5771,6015,6118,6221,6485,6658,6710,6913,7196,7371,7277,7566,7547,7758,7956,6039,5678,6169,5889,5843,5961,6110,6210,6328,6262,6459,6631,6777,6853,6224,6177,6162,6300,6325,6447,6740,7055,7429,7663,7940,8335,8686,8911,9050,8641
Ecuador,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,7,10,13,13,13,14,15,15,17,17,17,26,26,35,56,109,196,362,496,772,960,1052,1142,1366,1556,1772,1863,1899,2111,2597,2978,3158,3193,3366,3456,3456,4068,4354,6496,6531,6632,6577,6538,6690,6984,7191,7558,7933,8471,8671,9051,9295,20777,20777,20777,21020,21830,22235,22476,23360,23961,24674,26879,26879,26830,25211,23681,23921,23999,23931,24659,24719,24731,25440,26642,27013,27350,27855,28409,28810,29215,29605,30088,16149,16149,16403,16733,16047,16047,16148,16148,16957,17461,17461,17473,18100,18479,18716,19207,18858,18858,19271,19617,19791,20044
Egypt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,2,14,14,47,53,57,32,39,51,80,87,121,160,158,218,238,243,257,291,302,340,369,390,419,437,465,507,548,606,703,758,848,978,1080,1152,1233,1275,1367,1317,1437,1583,1733,1881,1993,2107,2173,2262,2356,2448,2600,2723,2898,3041,3209,3379,3553,3764,4029,4256,4474,4745,5019,5304,5612,6028,6448,6800,7041,7223,7389,7632,7837,8157,8427,8679,9083,9555,10090,10705,11150,11694,12284,12932,13645,14589,15692,16843,17989,18932,19657,20177,20885,21791,22876,23881,24798,25737,26653,27658,28773,29967,31092,32288
El Salvador,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,3,3,5,9,13,13,19,24,30,31,31,39,44,51,57,60,69,79,83,96,93,98,109,118,123,125,132,140,150,165,170,167,175,191,191,207,226,240,262,266,290,294,325,362,368,399,428,469,491,579,615,629,643,684,768,798,844,909,966,1003,1063,1122,1216,1247,1176,1219,1179,1153,1221,1318,1431,1473,1444,1468,1515,1547,1600,1657,1669,1712,1772,1801,1826,1793,1800,1826
Equatorial Guinea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,4,6,6,6,6,9,9,9,12,12,12,12,12,11,14,14,15,15,15,13,13,15,15,15,15,18,17,37,47,47,75,75,75,72,76,76,76,206,250,249,248,305,305,305,305,305,305,299,299,422,422,422,422,422,422,422,503,563,565,565,565,690,796,861,871,784,784,784,866,866,866,866,1094,1094,1094,1094,1094,1094,1094,1094,1094,1094,1094,1094,1094,1094,1094,1094,1094,1094
Eritrea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,4,6,6,6,12,12,15,15,22,22,29,29,31,31,33,33,34,34,34,34,34,35,35,35,36,36,36,33,33,33,28,26,26,26,20,20,13,13,13,13,13,9,9,9,2,2,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,26,57,70
Estonia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,2,3,10,10,10,10,12,16,16,79,115,170,204,224,257,266,282,305,324,350,362,395,529,563,624,656,692,715,741,802,901,967,1020,1027,1059,1089,1100,1141,1187,1186,1202,1227,1248,1265,1276,1312,1324,1330,1340,1331,1355,1353,1361,1361,1364,1370,1380,1388,1389,1390,1386,1389,1395,1394,1391,965,926,929,929,908,913,787,780,773,773,782,789,774,248,235,231,227,221,217,213,211,182,176,177,177,170,161,158,174,187,189,188,194,199,199,198,199,199,188
Ethiopia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,5,5,6,6,9,9,7,7,12,12,12,16,15,20,19,24,27,26,32,34,37,38,46,49,50,58,56,58,57,65,67,74,78,86,89,92,95,92,92,89,90,79,71,73,69,69,64,61,57,62,50,65,94,95,108,135,140,150,150,159,170,188,199,231,240,262,271,300,338,425,491,528,544,633,763,847,952,1028,1099,1223,1368,1524,1633,1649,1768,1925,2070,2196,2417,2616,2743,2841
Fiji,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,3,4,5,5,5,5,5,5,5,5,7,7,12,12,14,15,15,15,16,16,16,16,16,16,17,17,17,17,15,15,10,10,8,8,6,6,6,6,6,6,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0
Finland,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,5,5,5,5,11,14,14,22,29,39,58,58,154,224,234,267,311,326,390,440,512,615,689,781,867,943,1024,1148,1219,1329,1391,1419,1199,1295,1557,1599,1849,1974,2147,2263,2421,2556,2618,2705,2797,2865,1594,1707,1891,1989,1770,1873,1980,2112,1718,1789,1886,2002,1741,1900,1784,1833,1956,2024,1587,1666,1821,1918,1478,1615,1695,1713,1428,1470,1558,935,989,1049,1080,1098,1339,1387,1431,1462,1472,1191,1216,1279,930,962,1010,1039,1067,1067,1090,789,819,842,858,878,901,916,539,548,562,578,582
