Confirmed,Deaths,Active,Recovered,Dates
9955633,542782,4294193,5118658,2020-06-27
10117264,502357,4406970,5207937,2020-06-28
10275837,549653,4422324,5303860,2020-06-29
10449735,554940,4473121,5421674,2020-06-30
10667428,516221,4613327,5537880,2020-07-01
10875131,565336,4486568,5823227,2020-07-02
11078630,526336,4618866,5933428,2020-07-03
11272202,530705,4612076,6129421,2020-07-04
11454887,534150,4671610,6249127,2020-07-05
11622244,537947,4711181,6373116,2020-07-06
11833081,544054,4770604,6518423,2020-07-07
12044903,549382,4818760,6676761,2020-07-08
12273132,554831,4906733,6811568,2020-07-09
12505713,560142,4994235,6951336,2020-07-10
12722043,565039,5079572,7077432,2020-07-11
12914706,569629,5155817,7189260,2020-07-12
13107489,573420,5203871,7330198,2020-07-13
13328944,579107,5277202,7472635,2020-07-14
13560069,583961,5417507,7558601,2020-07-15
13812599,589760,5511965,7710874,2020-07-16
14054565,596502,5563824,7894239,2020-07-17
14292188,602128,5644884,8045176,2020-07-18
14506757,606157,5767588,8133012,2020-07-19
14707226,609878,5792004,8305344,2020-07-20
14946694,616427,5848364,8481903,2020-07-21
