Confirmed,Deaths,Active,Recovered,Dates
555,17,510,28,2020-01-22
654,18,606,30,2020-01-23
941,26,879,36,2020-01-24
1434,42,1353,39,2020-01-25
2118,56,2010,52,2020-01-26
2927,82,2784,61,2020-01-27
5578,131,5340,107,2020-01-28
6166,133,5907,126,2020-01-29
8234,171,7920,143,2020-01-30
9927,213,9492,222,2020-01-31
12038,259,11495,284,2020-02-01
16787,362,15953,472,2020-02-02
19881,426,18832,623,2020-02-03
23892,492,22548,852,2020-02-04
27635,564,25947,1124,2020-02-05
30794,634,28673,1487,2020-02-06
34330,719,31600,2011,2020-02-07
37059,806,33637,2616,2020-02-08
40086,906,35936,3244,2020-02-09
42627,1013,37668,3946,2020-02-10
44667,1113,38871,4683,2020-02-11
45053,1118,38785,5150,2020-02-12
60200,1371,52534,6295,2020-02-13
66674,1523,57093,8058,2020-02-14
68752,1666,57691,9395,2020-02-15
70876,1770,58241,10865,2020-02-16
72812,1868,58361,12583,2020-02-17
74602,2007,58243,14352,2020-02-18
75026,2122,56784,16120,2020-02-19
75571,2245,55150,18176,2020-02-20
76194,2249,55056,18889,2020-02-21
77947,2456,52606,22885,2020-02-22
78276,2466,52416,23394,2020-02-23
78880,2626,51027,25227,2020-02-24
79726,2705,49116,27905,2020-02-25
80694,2766,47554,30374,2020-02-26
82054,2810,45977,33267,2020-02-27
83421,2866,43854,36701,2020-02-28
85326,2935,42619,39772,2020-02-29
87688,2990,41992,42706,2020-03-01
89628,3079,40957,45592,2020-03-02
92164,3154,40792,48218,2020-03-03
94447,3248,40039,51160,2020-03-04
97217,3341,40090,53786,2020-03-05
101144,3453,41866,55825,2020-03-06
105195,3552,43325,58318,2020-03-07
109179,3795,44730,60654,2020-03-08
112961,3982,46525,62454,2020-03-09
117993,4258,49371,64364,2020-03-10
125277,4608,53991,66678,2020-03-11
127763,4716,55048,67999,2020-03-12
144706,5402,69378,69926,2020-03-13
155608,5824,77485,72299,2020-03-14
167012,6466,84837,75709,2020-03-15
181312,7147,96402,77763,2020-03-16
196885,7954,108416,80515,2020-03-17
214791,8824,122980,82987,2020-03-18
242704,9948,148106,84650,2020-03-19
272478,11427,173956,87095,2020-03-20
305120,13136,200617,91367,2020-03-21
337775,14836,225365,97574,2020-03-22
379658,16774,264858,98026,2020-03-23
420157,19028,293454,107675,2020-03-24
