Confirmed,Deaths,Active,Recovered,Dates
555,17,510,28,2020-01-22
654,18,606,30,2020-01-23
941,26,879,36,2020-01-24
1434,42,1353,39,2020-01-25
2117,56,2009,52,2020-01-26
2926,82,2783,61,2020-01-27
5576,131,5338,107,2020-01-28
6164,133,5905,126,2020-01-29
8232,171,7918,143,2020-01-30
9923,213,9488,222,2020-01-31
12034,259,11491,284,2020-02-01
16783,362,15949,472,2020-02-02
19877,426,18828,623,2020-02-03
23888,492,22544,852,2020-02-04
27630,564,25942,1124,2020-02-05
30789,634,28668,1487,2020-02-06
34323,719,31593,2011,2020-02-07
37052,806,33630,2616,2020-02-08
40079,906,35929,3244,2020-02-09
42620,1013,37661,3946,2020-02-10
44660,1113,38864,4683,2020-02-11
45046,1118,38778,5150,2020-02-12
60193,1371,52527,6295,2020-02-13
66667,1523,57086,8058,2020-02-14
68745,1666,57684,9395,2020-02-15
70869,1770,58234,10865,2020-02-16
72804,1868,58353,12583,2020-02-17
74594,2007,58235,14352,2020-02-18
75018,2122,56776,16120,2020-02-19
75563,2245,55142,18176,2020-02-20
76185,2249,55047,18889,2020-02-21
77938,2456,52597,22885,2020-02-22
78267,2466,52407,23394,2020-02-23
78834,2626,50981,25227,2020-02-24
79681,2705,49071,27905,2020-02-25
80641,2766,47501,30374,2020-02-26
81999,2810,45922,33267,2020-02-27
83365,2866,43798,36701,2020-02-28
85262,2935,42555,39772,2020-02-29
87620,2990,41924,42706,2020-03-01
89557,3079,40886,45592,2020-03-02
92089,3154,40717,48218,2020-03-03
94369,3248,39961,51160,2020-03-04
97138,3341,40011,53786,2020-03-05
101055,3453,41777,55825,2020-03-06
105076,3552,43205,58319,2020-03-07
109048,3795,44599,60654,2020-03-08
112830,3981,46396,62453,2020-03-09
117669,4257,49048,64364,2020-03-10
124998,4604,53717,66677,2020-03-11
130203,4906,57299,67998,2020-03-12
144498,5404,69168,69926,2020-03-13
155577,5823,77458,72296,2020-03-14
166316,6462,84148,75706,2020-03-15
180746,7146,95832,77768,2020-03-16
196211,7947,107744,80520,2020-03-17
215452,8842,123615,82995,2020-03-18
242376,9947,147797,84632,2020-03-19
271986,11429,173480,87077,2020-03-20
304139,13136,199662,91341,2020-03-21
336890,14836,224498,97556,2020-03-22
377674,16753,262900,98021,2020-03-23
417861,19021,291175,107665,2020-03-24
